Id,Date,TotalSleep_Records,Total_Minutes_Asleep,Total_Time_In_Bed,Time
1503960366,4/12/2016,1,327,346,12:00:00 AM
1503960366,4/13/2016,2,384,407,12:00:00 AM
1503960366,4/15/2016,1,412,442,12:00:00 AM
1503960366,4/16/2016,2,340,367,12:00:00 AM
1503960366,4/17/2016,1,700,712,12:00:00 AM
1503960366,4/19/2016,1,304,320,12:00:00 AM
1503960366,4/20/2016,1,360,377,12:00:00 AM
1503960366,4/21/2016,1,325,364,12:00:00 AM
1503960366,4/23/2016,1,361,384,12:00:00 AM
1503960366,4/24/2016,1,430,449,12:00:00 AM
1503960366,4/25/2016,1,277,323,12:00:00 AM
1503960366,4/26/2016,1,245,274,12:00:00 AM
1503960366,4/28/2016,1,366,393,12:00:00 AM
1503960366,4/29/2016,1,341,354,12:00:00 AM
1503960366,4/30/2016,1,404,425,12:00:00 AM
1503960366,5/1/2016,1,369,396,12:00:00 AM
1503960366,5/2/2016,1,277,309,12:00:00 AM
1503960366,5/3/2016,1,273,296,12:00:00 AM
1503960366,5/5/2016,1,247,264,12:00:00 AM
1503960366,5/6/2016,1,334,367,12:00:00 AM
1503960366,5/7/2016,1,331,349,12:00:00 AM
1503960366,5/8/2016,1,594,611,12:00:00 AM
1503960366,5/9/2016,1,338,342,12:00:00 AM
1503960366,5/10/2016,1,383,403,12:00:00 AM
1503960366,5/11/2016,1,285,306,12:00:00 AM
1644430081,4/29/2016,1,119,127,12:00:00 AM
1644430081,4/30/2016,1,124,142,12:00:00 AM
1644430081,5/2/2016,1,796,961,12:00:00 AM
1644430081,5/8/2016,1,137,154,12:00:00 AM
1844505072,4/15/2016,1,644,961,12:00:00 AM
1844505072,4/30/2016,1,722,961,12:00:00 AM
1844505072,5/1/2016,1,590,961,12:00:00 AM
1927972279,4/12/2016,3,750,775,12:00:00 AM
1927972279,4/13/2016,1,398,422,12:00:00 AM
1927972279,4/15/2016,2,475,499,12:00:00 AM
1927972279,4/26/2016,1,296,315,12:00:00 AM
1927972279,4/28/2016,1,166,178,12:00:00 AM
2026352035,4/12/2016,1,503,546,12:00:00 AM
2026352035,4/13/2016,1,531,565,12:00:00 AM
2026352035,4/14/2016,1,545,568,12:00:00 AM
2026352035,4/15/2016,1,523,573,12:00:00 AM
2026352035,4/16/2016,1,524,567,12:00:00 AM
2026352035,4/17/2016,1,437,498,12:00:00 AM
2026352035,4/19/2016,1,498,540,12:00:00 AM
2026352035,4/20/2016,1,461,510,12:00:00 AM
2026352035,4/21/2016,1,477,514,12:00:00 AM
2026352035,4/22/2016,1,520,545,12:00:00 AM
2026352035,4/23/2016,1,522,554,12:00:00 AM
2026352035,4/24/2016,1,555,591,12:00:00 AM
2026352035,4/25/2016,1,506,531,12:00:00 AM
2026352035,4/27/2016,1,508,545,12:00:00 AM
2026352035,4/28/2016,1,513,545,12:00:00 AM
2026352035,4/29/2016,1,490,510,12:00:00 AM
2026352035,4/30/2016,1,573,607,12:00:00 AM
2026352035,5/1/2016,1,527,546,12:00:00 AM
